lineid,name,Lon,Lat
7,青龙山地铁小镇,114.334041,30.3188
8,金潭路,114.28404,30.6772
8,宏图大道,114.277759,30.670353
8,塔子湖,114.280364,30.652594
8,中一路,114.281162,30.639903
8,竹叶山,114.287104,30.625318
8,赵家条,114.297076,30.617866
8,黄浦路,114.308156,30.608404
8,徐家棚(8号线),114.335962,30.591942
8,徐东,114.346233,30.587975
8,汪家墩,114.350076,30.585167
8,岳家嘴,114.36201,30.577109
8,梨园,114.370081,30.574832
8,省博湖北日报,114.365294,30.564871
8,中南医院,114.357089,30.556807
8,水果湖,114.346346,30.551863
8,洪山路,114.343812,30.545492
8,小洪山,114.352367,30.53561
8,街道口,114.353503,30.526597
8,马房山,114.350438,30.516234
8,文治街,114.344226,30.49999
8,文昌路,114.329911,30.492013
8,省农科院,114.325808,30.481799
8,马湖,114.32504,30.471754
8,野芷湖,114.319502,30.460928
8,黄家湖地铁小镇,114.298049,30.436741
8,军运村,114.295024,30.427348
